unicode,codepoint,latex,compose,description
𝔸,U1D538,\mathbb{A},<Multi_key> <b> <A>,mathematical bold capital A
𝔹,U1D539,\mathbb{B},<Multi_key> <b> <B>,mathematical bold capital B
ℂ,U2102,\mathbb{C},<Multi_key> <b> <C>,mathematical bold capital C
𝔻,U1D53B,\mathbb{D},<Multi_key> <b> <D>,mathematical bold capital D
𝔼,U1D53C,\mathbb{E},<Multi_key> <b> <E>,mathematical bold capital E
𝔽,U1D53D,\mathbb{F},<Multi_key> <b> <F>,mathematical bold capital F
𝔾,U1D53E,\mathbb{G},<Multi_key> <b> <G>,mathematical bold capital G
ℍ,U210D,\mathbb{H},<Multi_key> <b> <H>,mathematical bold capital H
𝕀,U1D540,\mathbb{I},<Multi_key> <b> <I>,mathematical bold capital I
𝕁,U1D541,\mathbb{J},<Multi_key> <b> <J>,mathematical bold capital J
𝕂,U1D542,\mathbb{K},<Multi_key> <b> <K>,mathematical bold capital K
𝕃,U1D543,\mathbb{L},<Multi_key> <b> <L>,mathematical bold capital L
𝕄,U1D544,\mathbb{M},<Multi_key> <b> <M>,mathematical bold capital M
ℕ,U2115,\mathbb{N},<Multi_key> <b> <N>,mathematical bold capital N
𝕆,U1D546,\mathbb{O},<Multi_key> <b> <O>,mathematical bold capital O
ℙ,U2119,\mathbb{P},<Multi_key> <b> <P>,mathematical bold capital P
ℚ,U211A,\mathbb{Q},<Multi_key> <b> <Q>,mathematical bold capital Q
ℝ,U211D,\mathbb{R},<Multi_key> <b> <R>,mathematical bold capital R
𝕊,U1D54A,\mathbb{S},<Multi_key> <b> <S>,mathematical bold capital S
𝕋,U1D54B,\mathbb{T},<Multi_key> <b> <T>,mathematical bold capital T
𝕌,U1D54C,\mathbb{U},<Multi_key> <b> <U>,mathematical bold capital U
𝕍,U1D54D,\mathbb{V},<Multi_key> <b> <V>,mathematical bold capital V
𝕎,U1D54E,\mathbb{W},<Multi_key> <b> <W>,mathematical bold capital W
𝕏,U1D54F,\mathbb{X},<Multi_key> <b> <X>,mathematical bold capital X
𝕐,U1D550,\mathbb{Y},<Multi_key> <b> <Y>,mathematical bold capital Y
ℤ,U2124,\mathbb{Z},<Multi_key> <b> <Z>,mathematical bold capital Z
𝕒,U1D552,\mathbb{a},<Multi_key> <b> <a>,mathematical bold small a
𝕓,U1D553,\mathbb{b},<Multi_key> <b> <b>,mathematical bold small b
𝕔,U1D554,\mathbb{c},<Multi_key> <b> <c>,mathematical bold small c
𝕕,U1D555,\mathbb{d},<Multi_key> <b> <d>,mathematical bold small d
𝕖,U1D556,\mathbb{e},<Multi_key> <b> <e>,mathematical bold small e
𝕗,U1D557,\mathbb{f},<Multi_key> <b> <f>,mathematical bold small f
𝕘,U1D558,\mathbb{g},<Multi_key> <b> <g>,mathematical bold small g
𝕙,U1D559,\mathbb{h},<Multi_key> <b> <h>,mathematical bold small h
𝕚,U1D55A,\mathbb{i},<Multi_key> <b> <i>,mathematical bold small i
